,"temperature_2m_(41.6351016, 15.908","relative_humidity_2m_(41.6351016, 15.908","precipitation_(41.6351016, 15.908","pressure_msl_(41.6351016, 15.908","surface_pressure_(41.6351016, 15.908","et0_fao_evapotranspiration_(41.6351016, 15.908","shortwave_radiation_(41.6351016, 15.908","direct_radiation_(41.6351016, 15.908","temperature_2m_(45.4821829, 9.2294","relative_humidity_2m_(45.4821829, 9.2294","precipitation_(45.4821829, 9.2294","pressure_msl_(45.4821829, 9.2294","surface_pressure_(45.4821829, 9.2294","et0_fao_evapotranspiration_(45.4821829, 9.2294","shortwave_radiation_(45.4821829, 9.2294","direct_radiation_(45.4821829, 9.2294","temperature_2m_(41.4418911, 15.5449","relative_humidity_2m_(41.4418911, 15.5449","precipitation_(41.4418911, 15.5449","pressure_msl_(41.4418911, 15.5449","surface_pressure_(41.4418911, 15.5449","et0_fao_evapotranspiration_(41.4418911, 15.5449","shortwave_radiation_(41.4418911, 15.5449","direct_radiation_(41.4418911, 15.5449","temperature_2m_(45.670795, 9.96259895222","relative_humidity_2m_(45.670795, 9.96259895222","precipitation_(45.670795, 9.96259895222","pressure_msl_(45.670795, 9.96259895222","surface_pressure_(45.670795, 9.96259895222","et0_fao_evapotranspiration_(45.670795, 9.96259895222","shortwave_radiation_(45.670795, 9.96259895222","direct_radiation_(45.670795, 9.96259895222","temperature_2m_(45.4284536, 10.1863","relative_humidity_2m_(45.4284536, 10.1863","precipitation_(45.4284536, 10.1863","pressure_msl_(45.4284536, 10.1863","surface_pressure_(45.4284536, 10.1863","et0_fao_evapotranspiration_(45.4284536, 10.1863","shortwave_radiation_(45.4284536, 10.1863","direct_radiation_(45.4284536, 10.1863","temperature_2m_(41.2663139, 15.8976","relative_humidity_2m_(41.2663139, 15.8976","precipitation_(41.2663139, 15.8976","pressure_msl_(41.2663139, 15.8976","surface_pressure_(41.2663139, 15.8976","et0_fao_evapotranspiration_(41.2663139, 15.8976","shortwave_radiation_(41.2663139, 15.8976","direct_radiation_(41.2663139, 15.8976"
0,18.747002,86.222435,0.0,1026.6,1022.4232,0.24276914,408.0,335.0,8.581,100.0,0.0,1028.1,1011.8378,0.079839475,184.0,86.0,16.9065,93.78197,0.0,1027.1,1017.58575,0.23430166,406.0,329.0,10.806,100.0,0.0,1027.2,1002.6711,0.12747473,286.0,181.0,5.207,100.0,0.0,1027.9,1016.8181,0.09223206,307.0,207.0,17.5315,93.13852,0.0,1027.1,1012.1947,0.24631885,407.0,330.0
1,16.997,99.33058,0.0,1026.0,1021.8704,0.22555661,421.0,349.0,8.1310005,100.0,0.0,1027.8,1011.5368,0.06485812,183.0,71.0,18.2565,90.12515,0.0,1026.4,1016.88556,0.22384264,413.0,336.0,10.006,97.242615,0.0,1027.3,1002.4839,0.124273695,300.0,224.0,7.0569997,98.97698,0.0,1027.8,1016.56415,0.06616639,230.0,147.0,18.3315,95.1972,0.0,1026.4,1011.4156,0.22529136,419.0,343.0
2,14.347,98.66774,0.0,1023.9,1019.7025,0.18355826,389.0,301.0,8.681001,98.96734,0.0,1023.1,1007.11206,0.058612455,121.0,4.0,14.8065,96.95382,0.0,1024.3,1014.76306,0.17548133,317.0,226.0,6.8059998,100.0,0.0,1022.9,998.10284,0.07507932,183.0,67.0,6.5569997,100.0,0.1,1023.2,1012.1646,0.05103401,144.0,21.0,14.981501,93.659454,0.0,1024.4,1009.5158,0.19045419,339.0,237.0
3,15.497,91.93309,0.0,1018.4,1014.2229,0.1966854,396.0,302.0,7.131,97.606064,0.5,1017.4,1001.4729,0.03877703,67.0,5.0,16.5065,90.829475,0.0,1018.7,1009.23035,0.2134977,363.0,234.0,8.955999,100.0,0.3,1017.7,992.902,0.05113935,74.0,6.0,5.8069997,100.0,0.2,1017.7,1006.7496,0.035834588,65.0,2.0,16.5315,90.239136,0.0,1018.8,1003.9736,0.22998795,402.0,317.0
4,16.647001,93.476425,0.1,1011.3,1007.1551,0.20518404,411.0,326.0,8.231,97.60322,1.0,1006.9,991.14844,0.13852249,214.0,81.0,18.0565,86.223404,0.0,1010.9,1001.56696,0.26348752,411.0,328.0,8.356,100.0,1.1,1006.9,982.3782,0.08145378,205.0,93.0,7.407,99.31037,2.8,1007.0,996.19574,0.042248428,110.0,10.0,17.9315,87.27326,0.0,1011.3,996.6033,0.25280058,422.0,345.0
5,14.447,92.188,0.1,1013.5,1009.335,0.19322501,343.0,244.0,8.281,96.18915,0.0,1021.0,1004.6831,0.13535549,342.0,270.0,15.2565,88.821434,0.0,1014.3,1004.89935,0.18301073,332.0,239.0,6.9560003,100.0,0.0,1020.9,995.47833,0.11315277,300.0,207.0,7.3069997,96.536446,0.3,1021.1,1009.9249,0.11816399,327.0,236.0,15.281501,89.95168,0.3,1014.1,999.2951,0.19931605,340.0,244.0
6,12.297,92.19397,0.5,1015.6,1011.4701,0.14482334,289.0,124.0,5.731,93.297745,0.0,1022.6,1006.34607,0.12637454,352.0,278.0,11.6565,87.961655,0.5,1016.2,1006.78326,0.13472164,276.0,125.0,4.7060003,90.46828,0.0,1022.6,997.567,0.09282999,234.0,102.0,5.407,92.62923,0.0,1022.5,1011.38043,0.12904423,355.0,276.0,11.9315,92.16916,1.2,1015.9,1001.196,0.14668041,309.0,167.0
7,11.097,82.87899,0.1,1013.4,1009.2361,0.1460108,298.0,115.0,4.081,97.8273,0.0,1018.2,1001.7367,0.10912789,341.0,262.0,9.606501,79.21485,0.0,1013.9,1004.47815,0.14786425,337.0,199.0,3.706,100.0,0.0,1017.9,992.4609,0.116498396,352.0,276.0,4.007,97.10951,0.0,1017.9,1006.6516,0.113414936,349.0,277.0,10.481501,84.17422,0.2,1013.7,998.90094,0.17509416,405.0,277.0
8,9.597,94.98418,1.6,1010.1,1005.9089,0.17591086,405.0,278.0,5.0309997,99.26502,1.6,1010.1,993.87787,0.10986101,324.0,224.0,11.6565,95.947266,1.2,1011.3,1001.7299,0.19972314,425.0,331.0,4.7060003,92.99122,0.1,1010.4,985.39856,0.11045539,307.0,184.0,4.257,98.18539,0.3,1010.5,999.4068,0.08677838,241.0,81.0,12.231501,94.59423,1.8,1011.1,996.1327,0.19130622,398.0,258.0
9,8.847,91.085266,2.4,1006.1,1001.9513,0.08537831,168.0,33.0,4.0309997,100.0,0.0,1019.7,1003.2939,0.100187585,314.0,206.0,7.3564997,97.221634,2.8,1006.9,997.51,0.047858503,47.0,0.0,7.5059996,90.57304,0.0,1019.2,994.04877,0.14836662,365.0,292.0,6.507,93.865555,0.0,1019.4,1008.1287,0.12335189,347.0,269.0,7.0315,98.952736,5.4,1006.7,991.9222,0.03892556,66.0,5.0
